id,name,project_id,created_at,campaign_id,status,intent,type,score,related_terms,anchor_reference
kw_20a82ac18fe2,emergency parole housing near Hamilton High Court,specialist_support_services,2026-01-28 11:25:48.496625,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_cbd74a10e733e20b
kw_51fd2907dbdb,emergency parole housing near Hamilton  Court,specialist_support_services,2026-01-28 11:25:48.495816,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_d77d04e7358a3cfa
kw_cb1d49814030,emergency parole housing near Hamilton  Police Station,specialist_support_services,2026-01-28 11:25:48.494941,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_13863a68ca6d077c
kw_02bc62a8b51e,emergency parole housing near Hamilton North Police Station,specialist_support_services,2026-01-28 11:25:48.494083,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_5a1a1d43d9866c56
kw_fbab921d5160,emergency parole housing near Hamilton Police Service,specialist_support_services,2026-01-28 11:25:48.492896,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_a13f6138bfe4df0c
kw_7874f281d996,emergency parole housing near Hamilton Police Station,specialist_support_services,2026-01-28 11:25:48.492043,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_e0d502d98a2a81a8
kw_45313f83f5ad,emergency parole housing near Dinsdale Police Station,specialist_support_services,2026-01-28 11:25:48.490405,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_436c2420593eb605
kw_7066ad6566ca,emergency parole housing near Police Scotland Hamilton,specialist_support_services,2026-01-28 11:25:48.488581,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_ac8d56e27abf2bc1
kw_4d73d88e8d80,emergency parole housing near Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:25:48.487670,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_877e9d47989f7ae2
kw_8cd6441f3863,emergency parole housing near Hamilton City Council,specialist_support_services,2026-01-28 11:25:48.486778,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_09c399d2fad6187a
kw_f412a7258043,emergency parole housing near Waikato Hospital,specialist_support_services,2026-01-28 11:25:48.485944,cmp_1cbf011019,pending,emergency parole housing,geo_anchor,80,[],anchor_9fecafc3beff96f7
kw_3bd472398135,emergency parole housing in Hamilton,specialist_support_services,2026-01-28 11:25:48.485115,cmp_1cbf011019,pending,emergency parole housing,geo_city,90,"['emergency housing in hamilton', 'emergency housing hamilton nz', 'emergency housing providers hamilton']",
kw_3e6c74577441,emergency parole housing Hamilton,specialist_support_services,2026-01-28 11:25:48.484314,cmp_1cbf011019,pending,emergency parole housing,geo_city,90,"['emergency housing hamilton nz', 'emergency housing hamilton', 'emergency housing providers hamilton']",
kw_b1e18f59f7a8,immediate release housing near Hamilton High Court,specialist_support_services,2026-01-28 11:25:48.483550,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_cbd74a10e733e20b
kw_0ccc2decfea9,immediate release housing near Hamilton  Court,specialist_support_services,2026-01-28 11:25:48.482745,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_d77d04e7358a3cfa
kw_4f1cd6398a81,immediate release housing near Hamilton  Police Station,specialist_support_services,2026-01-28 11:25:48.481700,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_13863a68ca6d077c
kw_4033a8721708,immediate release housing near Hamilton North Police Station,specialist_support_services,2026-01-28 11:25:48.480096,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_5a1a1d43d9866c56
kw_7934e94d944a,immediate release housing near Hamilton Police Service,specialist_support_services,2026-01-28 11:25:48.479291,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_a13f6138bfe4df0c
kw_5e2aa7289809,immediate release housing near Hamilton Police Station,specialist_support_services,2026-01-28 11:25:48.478456,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_e0d502d98a2a81a8
kw_e37e26895d01,immediate release housing near Dinsdale Police Station,specialist_support_services,2026-01-28 11:25:48.476767,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_436c2420593eb605
kw_6f034da4e90c,immediate release housing near Police Scotland Hamilton,specialist_support_services,2026-01-28 11:25:48.475078,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_ac8d56e27abf2bc1
kw_5b8521d36890,immediate release housing near Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:25:48.474183,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_877e9d47989f7ae2
kw_3a0d7487b591,immediate release housing near Hamilton City Council,specialist_support_services,2026-01-28 11:25:48.473302,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_09c399d2fad6187a
kw_d9c81ab3d372,immediate release housing near Waikato Hospital,specialist_support_services,2026-01-28 11:25:48.472453,cmp_1cbf011019,pending,immediate release housing,geo_anchor,80,[],anchor_9fecafc3beff96f7
kw_d6a868c8cca5,temporary bail accommodation near Hamilton High Court,specialist_support_services,2026-01-28 11:25:48.471625,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_cbd74a10e733e20b
kw_15812578787b,temporary bail accommodation near Hamilton  Court,specialist_support_services,2026-01-28 11:25:48.470823,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_d77d04e7358a3cfa
kw_01a3c68ec62b,temporary bail accommodation near Hamilton  Police Station,specialist_support_services,2026-01-28 11:25:48.469909,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_13863a68ca6d077c
kw_b8889270a755,temporary bail accommodation near Hamilton North Police Station,specialist_support_services,2026-01-28 11:25:48.468829,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_5a1a1d43d9866c56
kw_67713b1f11e2,temporary bail accommodation near Hamilton Police Service,specialist_support_services,2026-01-28 11:25:48.467410,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_a13f6138bfe4df0c
kw_09788923d851,temporary bail accommodation near Hamilton Police Station,specialist_support_services,2026-01-28 11:25:48.465532,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_e0d502d98a2a81a8
kw_fcef831334a9,temporary bail accommodation near Dinsdale Police Station,specialist_support_services,2026-01-28 11:25:48.462945,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_436c2420593eb605
kw_e25ae31292ed,temporary bail accommodation near Police Scotland Hamilton,specialist_support_services,2026-01-28 11:25:48.460670,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_ac8d56e27abf2bc1
kw_fa262c764d10,temporary bail accommodation near Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:25:48.459677,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_877e9d47989f7ae2
kw_ab146924382b,temporary bail accommodation near Hamilton City Council,specialist_support_services,2026-01-28 11:25:48.458473,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_09c399d2fad6187a
kw_3a3d230b634f,temporary bail accommodation near Waikato Hospital,specialist_support_services,2026-01-28 11:25:48.457567,cmp_1cbf011019,pending,temporary bail accommodation,geo_anchor,80,[],anchor_9fecafc3beff96f7
kw_66562aae38fe,home detention placement support near Hamilton High Court,specialist_support_services,2026-01-28 11:25:48.456760,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_cbd74a10e733e20b
kw_110d80a7e5ae,home detention placement support near Hamilton  Court,specialist_support_services,2026-01-28 11:25:48.455747,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_d77d04e7358a3cfa
kw_cfb94cdff4d4,home detention placement support near Hamilton  Police Station,specialist_support_services,2026-01-28 11:25:48.454614,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_13863a68ca6d077c
kw_75acdaaf85ba,home detention placement support near Hamilton North Police Station,specialist_support_services,2026-01-28 11:25:48.453755,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_5a1a1d43d9866c56
kw_826af450262e,home detention placement support near Hamilton Police Service,specialist_support_services,2026-01-28 11:25:48.452776,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_a13f6138bfe4df0c
kw_4e74c4de5241,home detention placement support near Hamilton Police Station,specialist_support_services,2026-01-28 11:25:48.451872,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_e0d502d98a2a81a8
kw_7fc0218755b0,home detention placement support near Dinsdale Police Station,specialist_support_services,2026-01-28 11:25:48.450189,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_436c2420593eb605
kw_18e9142cfd0c,home detention placement support near Police Scotland Hamilton,specialist_support_services,2026-01-28 11:25:48.447984,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_ac8d56e27abf2bc1
kw_fbc574ab1aa5,home detention placement support near Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:25:48.446697,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_877e9d47989f7ae2
kw_f562f04287c5,home detention placement support near Hamilton City Council,specialist_support_services,2026-01-28 11:25:48.445770,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_09c399d2fad6187a
kw_deba7bcead09,home detention placement support near Waikato Hospital,specialist_support_services,2026-01-28 11:25:48.444665,cmp_1cbf011019,pending,home detention placement support,geo_anchor,80,[],anchor_9fecafc3beff96f7
kw_51a2b7312255,home detention placement support in Hamilton,specialist_support_services,2026-01-28 11:25:48.443852,cmp_1cbf011019,pending,home detention placement support,geo_city,90,"['home detention contact number', 'home detention after hours number', 'home detention nz contact number']",
kw_ca754c0249d3,home detention placement support Hamilton,specialist_support_services,2026-01-28 11:25:48.442831,cmp_1cbf011019,pending,home detention placement support,geo_city,90,"['home detention contact number', 'home detention after hours number', 'home detention nz contact number']",
kw_5ad5971ea1cd,parole housing options near Hamilton High Court,specialist_support_services,2026-01-28 11:25:48.441915,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_cbd74a10e733e20b
kw_1a1fab407808,parole housing options near Hamilton  Court,specialist_support_services,2026-01-28 11:25:48.441066,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_d77d04e7358a3cfa
kw_3f1d0a0eaddb,parole housing options near Hamilton  Police Station,specialist_support_services,2026-01-28 11:25:48.440091,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_13863a68ca6d077c
kw_1143bc205ca7,parole housing options near Hamilton North Police Station,specialist_support_services,2026-01-28 11:25:48.439143,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_5a1a1d43d9866c56
kw_d4a2e219f9c4,parole housing options near Hamilton Police Service,specialist_support_services,2026-01-28 11:25:48.438123,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_a13f6138bfe4df0c
kw_0e9dc9b1c78e,parole housing options near Hamilton Police Station,specialist_support_services,2026-01-28 11:25:48.436906,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_e0d502d98a2a81a8
kw_45bdc2c15a8d,parole housing options near Dinsdale Police Station,specialist_support_services,2026-01-28 11:25:48.434399,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_436c2420593eb605
kw_9aa95b01e738,parole housing options near Police Scotland Hamilton,specialist_support_services,2026-01-28 11:25:48.431376,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_ac8d56e27abf2bc1
kw_d7ee4e3b4534,parole housing options near Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:25:48.430473,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_877e9d47989f7ae2
kw_fca418fefec9,parole housing options near Hamilton City Council,specialist_support_services,2026-01-28 11:25:48.429578,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_09c399d2fad6187a
kw_5bc341fde1c3,parole housing options near Waikato Hospital,specialist_support_services,2026-01-28 11:25:48.428655,cmp_1cbf011019,pending,parole housing options,geo_anchor,80,[],anchor_9fecafc3beff96f7
kw_d23937590470,urgent EM bail accommodation near Hamilton High Court,specialist_support_services,2026-01-28 11:25:48.427479,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_cbd74a10e733e20b
kw_f6d64f258075,urgent EM bail accommodation near Hamilton  Court,specialist_support_services,2026-01-28 11:25:48.426416,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_d77d04e7358a3cfa
kw_14b3806df195,urgent EM bail accommodation near Hamilton  Police Station,specialist_support_services,2026-01-28 11:25:48.422618,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_13863a68ca6d077c
kw_71ef9b14d10e,urgent EM bail accommodation near Hamilton North Police Station,specialist_support_services,2026-01-28 11:25:48.420958,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_5a1a1d43d9866c56
kw_8b8c64bf7bc4,urgent EM bail accommodation near Hamilton Police Service,specialist_support_services,2026-01-28 11:25:48.419893,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_a13f6138bfe4df0c
kw_f22240a0a274,urgent EM bail accommodation near Hamilton Police Station,specialist_support_services,2026-01-28 11:25:48.418582,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_e0d502d98a2a81a8
kw_e0e2fc64770f,urgent EM bail accommodation near Dinsdale Police Station,specialist_support_services,2026-01-28 11:25:48.416788,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_436c2420593eb605
kw_9042c2a117d9,urgent EM bail accommodation near Police Scotland Hamilton,specialist_support_services,2026-01-28 11:25:48.414840,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_ac8d56e27abf2bc1
kw_7cb1f03f2261,urgent EM bail accommodation near Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:25:48.413731,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_877e9d47989f7ae2
kw_02326e4387e7,urgent EM bail accommodation near Hamilton City Council,specialist_support_services,2026-01-28 11:25:48.412653,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_09c399d2fad6187a
kw_f6e9a4bd049f,urgent EM bail accommodation near Waikato Hospital,specialist_support_services,2026-01-28 11:25:48.411494,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_anchor,80,[],anchor_9fecafc3beff96f7
kw_e6aa8bb07840,urgent EM bail accommodation in Hamilton,specialist_support_services,2026-01-28 11:25:48.410153,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_city,90,"['emergency accommodation hamilton nz', 'emergency accommodation hamilton', 'bail accommodation auckland']",
kw_fca2f1c8e529,urgent EM bail accommodation Hamilton,specialist_support_services,2026-01-28 11:25:48.408105,cmp_1cbf011019,pending,urgent EM bail accommodation,geo_city,90,"['emergency accommodation hamilton nz', 'emergency accommodation hamilton', 'bail accommodation auckland']",
